TargetName	S1	S2	S3	S4
ANAPC11	19	29	35	24
ANAPC13	42	83	71	54
ANAPC15	22	29	17	20
ANAPC2	28	34	23	30
ANAPC4	31	53	49	36
ANAPC5	47	61	64	55
ANAPC7	60	63	79	45
ANG	23	38	17	19
ANGEL1	26	38	26	23
ANGEL2	28	43	24	30
ANGPT1	24	39	23	22
ANGPT2	22	34	13	18
ANGPT4	9	18	21	22
ANGPTL1	17	18	12	17
ANGPTL2	33	37	19	18
ANGPTL3	10	17	12	9
ANGPTL4	7	16	7	10
ANGPTL5	7	21	10	9
ANGPTL6	13	29	23	13
ANGPTL7	16	26	21	13
ANGPTL8	6	10	9	6
ANHX	16	20	25	22
ANK1	55	24	12	20
ANK2	64	80	216	45
ANK3	16	59	154	42
ANKAR	18	32	23	11
ANKDD1A	7	11	18	5
ANKDD1B	12	15	12	12
ANKEF1	16	35	23	12
ANKFN1	20	24	12	15
ANKFY1	66	56	44	38
ANKH	39	63	106	55
ANKHD1-EIF4EBP3,ANKHD1	87	96	76	91
ANKIB1	12	40	48	32
ANKK1	7	5	6	4
ANKLE1	15	25	17	23
ANKLE2	67	84	69	68
ANKMY1	22	35	21	25
ANKMY2	39	82	106	41
ANKRA2	32	49	34	32
ANKRD1	18	19	14	11
ANKRD10	125	129	122	118
ANKRD11	77	88	71	50
ANKRD12	41	64	99	49
ANKRD13A	28	36	32	26
ANKRD13B	54	70	100	60
ANKRD13C	56	82	70	60
ANKRD13D	24	43	55	32
ANKRD16	36	46	31	25
ANKRD17	76	99	103	65
ANKRD18A	16	30	22	19
ANKRD18B	14	13	20	13
ANKRD19P,EEF1D	273	278	134	206
ANKRD2	15	27	16	14
ANKRD20A9P,ANKRD20A2,ANKRD20A4-ANKRD20A20P,ANKRD20A4,ANKRD20A11P,ANKRD20A3,ANKRD20A1,ANKRD20A8P,LOC105379417,LOC105379426	76	66	76	72
ANKRD22	19	27	17	24
ANKRD23	16	39	24	27
ANKRD24	12	21	15	17
ANKRD26	5	11	11	5
ANKRD27	28	36	38	24
ANKRD28	50	57	59	21
ANKRD29	10	9	11	7
ANKRD30A	15	17	12	13
ANKRD30B	10	16	17	8
ANKRD31	13	27	19	16
ANKRD33	21	31	14	22
ANKRD33B	17	25	22	16
ANKRD34A	17	17	35	11
ANKRD34B	16	25	22	14
ANKRD34C	21	23	20	27
ANKRD35	12	32	18	11
ANKRD36B,ANKRD36BP2,ANKRD36C,ANKRD36	200	145	270	107
ANKRD39	42	52	42	34
ANKRD40	36	47	24	36
ANKRD40CL	15	22	18	11
ANKRD42	5	7	5	7
ANKRD44	46	62	104	52
ANKRD45	34	40	74	29
ANKRD46	33	76	142	37
ANKRD49	34	50	34	34
ANKRD50	91	125	137	103
ANKRD52	35	52	51	43
ANKRD53,TEX261	56	79	47	64
ANKRD54	44	56	53	46
ANKRD55	16	24	12	22
ANKRD6	70	73	42	30
ANKRD60	8	32	25	15
ANKRD61	13	23	13	17
ANKRD62	3	2	2	1
ANKRD63	7	19	17	17
ANKRD65	15	39	16	12
